submission_id,decision_description_en,decision_description_fr,decision_sectors,automation_type_score,system_role_en,system_role_fr,requires_judgement_score,evaluation_criteria_en,evaluation_criteria_fr,system_output_en,system_output_fr,superhuman_task_score,used_by_different_org_score,impacts_reversible_score,impact_duration_score
3,"Immigration services The system can automate the approval of the eligibility portion of certain visitor record applications. For these applications, the system determines only that the applicant is eligible before the application is sent to an officer to screen for admissibility. In cases where eligibility is auto-approved, officers continue to make the admissibility determination and the final decision on each application. If an officer encounters information in the course of their admissibility assessment that may affect the positive eligibility determination of an application, they may revisit the eligibility determination. 

For applications that do not have the eligibility portion automatically approved by the system, both the eligibility and admissibility portions are done manually by officers. The automated system makes no recommendations regarding eligibility. Consequently, final decisions to approve or refuse are based wholly on manual review by experienced officers.

The system never refuses applications, nor does it recommend refusals.

All applications continue to receive an individualized assessment.","Services d’immigration Le système peut automatiser l'approbation de la partie recevabilité de certaines demandes de fiche du visiteur. Pour ces demandes, le système détermine seulement si le demandeur est recevable avant que la demande ne soit envoyée à un agent pour vérifier s’il y a interdiction de territoire. Dans les cas où la recevabilité est approuvée automatiquement, les agents continuent de vérifier s’il y a interdiction de territoire et de prendre la décision
finale sur chaque demande. Si un agent découvre, au cours de la vérification de l’interdiction de territoire, des renseignements pouvant avoir une incidence
sur la détermination positive de la recevabilité d'une demande, il peut revoir la détermination de la recevabilité.

Pour les demandes dont la partie recevabilité n'est pas automatiquement
approuvée par le système, les parties recevabilité et interdiction de territoire
sont traitées manuellement par les agents. Le système automatisé ne fait
aucune recommandation concernant la recevabilité. Par conséquent, les décisions finales d’approbation ou de refus reposent entièrement sur un examen manuel par des agents expérimentés.

Le système ne refuse jamais les demandes, ni ne recommande de refus.",item6-1,,,,4,item1-1,,item2-2,,4,,1,
8,Immigration services Routine applications receive an automated positive eligibility determination. The tools cannot refuse nor recommend refusals. Officers continue to review admissibility and make the final decision on all applications. Applications that do not receive an automated positive eligibility determination are triaged automatically to ensure timely processing by officers having the requisite expertise.,Services d'immigration Les demandes ordinaires font l’objet d’une évaluation favorable automatisée de leur recevabilité. Les outils ne peuvent rejeter des demandes ni en recommander le rejet. Les agents continuent d’examiner l'interdiction de territoire et prennent la décision finale pour toutes les demandes. Les demandes qui ne font pas l’objet d’une évaluation favorable automatisée de leur recevabilité sont triées automatiquement afin de garantir un traitement rapide par des agents possédant l’expertise requise.,item6-1,2,,,4,item1-1,,item2-2,,4,2,1,
9,The system will filter the data based on the program criteria and summarize the data into groups with a grouping label and provide a summary by group.  This will help facilitate the prioritization of cases that need immediate action.,Le système filtrera les données en fonction des critères du programme et résumera les données en groupes avec une étiquette de regroupement et fournira un résumé par groupe. Cela aidera à faciliter la priorisation des cas nécessitant une action immédiate.,item3-1,0,,,0,item1-1,,item1-1,,0,2,1,
12,"Canadian passport and travel document services The system compares the client's facial biometric to previous facial biometric templates in the same identity to assess whether the client appears to be same person who applied for passport services in this identity before to help verify they are who they say they are. The system also compares the likeness of the clients facial biometric to facial biometrics associated to other identities that are held in the facial recognition system to assess whether the client may be known to the Passport Program under another identity. If the system determines that the client appears to be the same person who used this identity before and they do not appear to be known by another identity, the application is automatically returned to continue processing.    Facial recognition is just one of many checks that are completed as part of the passport issuance process and facial recognition results are never the sole factor that determines whether a client may be issued a passport or travel document.","services de passeport et de titres de voyage canadiens : Le système compare les données biométriques faciales d’un client à un modèle biométrique facial antérieur associé à la même identité pour déterminer si le client semble être la même personne qui a auparavant demandé des services de passeport avec cette même identité et ainsi aider à vérifier qu’il est bien celui qu’il prétend être. Le système évalue aussi les similarités entre les données biométriques faciales du client et les données biométriques faciales associées à d’autres identités qui sont stockées dans le système de reconnaissance faciale pour déterminer si le client est connu par le Programme de passeport sous une autre identité. Si le système détermine que le client semble être la même personne qui a utilisé cette identité auparavant et qu’il ne semble pas être connu sous une autre identité, la demande est automatiquement remise dans la file de traitement. La reconnaissance faciale n’est qu’une seule des nombreuses vérifications effectuées dans le cadre du processus de délivrance des passeports, et les résultats de cette reconnaissance ne sont jamais le seul facteur déterminant si un passeport ou un titre de voyage peut être délivré à un client.",item6-1,2,,,0,item1-1,,,,0,2,1,
21,"Immigration Services ITAT does not automate nor does it recommend final decisions on applications. This tool is designed to assist Risk Assessment Units in prioritizing applications for verification activity by automating the detection of risk patterns associated with adverse outcomes from historical data and flagging new applications that match these patterns. Verification of documents provided by applicants will result in either an adverse or non-adverse result. Procedural fairness still requires that a letter be sent to the applicant to explain the apparent concern in the documentation subject to verification. A decision is only made based on the reply of the applicant. Thus, the system itself is two steps removed from a final decision that is rendered in accordance with the principles of natural justice and procedural fairness.","Les services d'immigration L’OATI ne rend pas automatique ni ne suggère des décisions définitives concernant les demandes. L’outil est conçu pour aider les équipes d’évaluation des risques à prioriser les demandes à soumettre à une activité de vérification, puisqu’il détecte automatiquement les motifs de risque associés aux résultats défavorables se dégageant des données historiques. La vérification des documents fournis par les demandeurs entraînera un résultat défavorable ou non défavorable. L’équité procédurale exige toujours qu’une lettre soit envoyée au demandeur pour expliquer la préoccupation apparente dans la documentation soumise à vérification. Une décision n’est prise qu’en fonction de la réponse du demandeur. Ainsi, le système lui-même constitue deux étapes distinctes d’une décision finale rendue conformément aux principes d’impartialité et d’équité procédurale.",item6-1,0,,,4,item1-1,,item2-2,,0,2,1,
22,,,item3-1,,,,0,item1-1,,item1-1,,0,,1,
28,"The ultimate decision is to hire or not hire a candidate. For this decision, human judgment and discretion remain the key lever in the assessment of candidates. While the assessment tools provided by the Knockri system assist in providing data to inform decisions, critical decision points will be continually made by HR advisors to ensure quality assurance. The Knockri system will provide one of several candidate inputs that will be used to support a decision to include and exclude someone from a pre-screened pool of candidates. Therefore, the Knockri system will contribute to administrative decision-making by supporting an officer through assessments, recommendations, and intermediate decisions. As part of the proposed pilot project, ALL candidates assessed by Knockri will also be reviewed by an HR advisor.","La décision finale est d’embaucher ou non une candidature. Pour cette décision, le jugement humain et la discrétion constituent le levier clé de l’évaluation des candidatures. Bien que les outils d’évaluation fournis par la plateforme Knockri apportent des données pour éclairer les décisions, des points de décision essentiels seront continuellement pris par les conseillers en ressources humaines afin de garantir l’assurance qualité. La plateforme Knockri fournira certaines des informations concernant les candidatures qui seront utilisées pour appuyer la décision d’inclure et d’exclure quelqu’un d’un bassin de candidatures présélectionnées. Par conséquent, la plateforme Knockri contribuera à la prise de décision administrative en aidant un agent à travers des évaluations, des recommandations et des décisions intermédiaires. Dans le cadre du projet pilote proposé, toutes les candidatures évaluées au moyen de la Knockri seront également examinées par un conseiller en ressources humaines.",item7-1,0,,,4,item1-1,,item1-1,,0,2,1,
32,"In order to reduce a backlog of older claim recalculations, a Machine Learning model 
will be used to triage them.
The model classifies claim recalculations into three categories of outcomes:
Increase in benefit rate,
Decrease in benefit rate,
No Change in benefit rate.

This will allow the program to close claim recalculations which have no impact on the
claimant and prioritize claim recalculations which have a greater likelihood of resulting in a 
change of benefit for the claimant.",,item3-1,0,,,0,item1-1,,item1-1,,4,2,1,
35,Immigration services,Services d’immigration,item6-1,,"The system will automate the approval of the eligibility of some applicants for temporary resident visas. For applications where the positive eligibility determination is automated by the system, the system determines only that an applicant is eligible, before the application is sent to an officer to screen for admissibility. Even in cases where the system approves the eligibility, officers continue to make the admissibility determination and the final decision on each application. As a result, there is officer review of all applications. If an officer encounters information in the course of their admissibility assessment that may affect the positive eligibility determination, they may revisit the eligibility determination of an application. For applications where there is no automated positive eligibility determination, the advanced data analytics system makes no determinations or recommendations vis-à-vis their ineligibility, and this must be determined by officers.","Le système automatisera l’approbation de l’admissibilité de certains demandeurs de visa de résident temporaire. En ce qui concerne les demandes pour lesquelles la décision favorable concernant l’admissibilité est automatisée par le système, ce dernier détermine uniquement que le demandeur est admissible, après quoi la demande est envoyée à un agent afin qu’il réalise l’évaluation visant à vérifier s’il y a interdiction de territoire. Même dans les cas où l’admissibilité est approuvée par le système, les agents continuent de prendre la décision concernant l’interdiction de territoire ainsi que la décision définitive concernant chaque demande. Par conséquent, toutes les demandes sont examinées par un agent. Pendant qu’il procède à l’évaluation visant à vérifier s’il y a interdiction de territoire, si un agent repère un élément qui pourrait avoir une incidence sur la décision favorable concernant l’admissibilité, il peut revoir la décision concernant l’admissibilité pour une demande. En ce qui concerne les demandes plus complexes pour lesquelles aucune décision favorable concernant l’admissibilité automatisée n’est rendue, le système d’analyse avancée des données ne prend aucune décision et ne formule pas de recommandation. La détermination à l’égard de l’admissibilité de ces demandes plus complexes est effectuée par un agent.",4,item1-1,,item2-2,,4,,1,
38,"Immigration Services * Medical module - By using index matching of biographical information, this functionality is able to recommend completed immigration medical examinations that can be associated to specific applications in GCMS. The functionality does not review the results of the immigration medical examination, and only compares basic applicant biographical data to score level of match for perfect and partial matches. Perfect matches can be associated with minimal review, allowing staff to focus on non-routine or partial suggested matches. AAST does not make a decision on behalf of an employee, it makes a recommendation on matching the immigration medical examinations to applications. The assessments continue to be reviewed by an immigration officer prior to a decision being rendered on the application.
*  Biometrics module - By using index matching of biographical information, this functionality is able to recommend biometric enrolments that can be associated to applications.  The functionality does not review the results of the biometric enrolment, it only compares basic applicant biographical data to score a level of match for perfect and partial matches. Perfect matches can be  associated with minimal review, allowing staff to focus on non-routine or partial suggested matches. AAST does not make a decision on behalf of an employee, it makes a recommendation on matching unassociated biometric enrolments to applications. The assessments continue to be reviewed by an immigration officer prior to a decision being rendered on the application.","Services d'immigration * Module médicale : en utilisant la correspondance indicielle des renseignements biographiques, cette fonctionnalité est capable de recommander les examens médicaux effectués aux fins de l’immigration qui peuvent être associés aux demandes dans le SMGC. Cette fonctionnalité n’examine pas les résultats d’examens médicaux aux fins de l’immigration, elle ne fait que comparer les données biographiques de base des clients afin
d’attribuer un résultat de niveau de correspondance pour les correspondances parfaites ou partielles. Les correspondances parfaites peuvent être associées à un examen minimal, ce qui permet au personnel de se concentrer sur les correspondances non habituelles ou partielles suggérées. L’OSAA ne prend pas de décision à la place d’un employé; il recommande de faire la correspondance entre des examens médicaux aux fins de l’immigration et des demandes. Les évaluations continuent à être examinées par un agent avant qu’une décision soit rendue pour la demande.

* Module des données biométriques : en utilisant la correspondance indicielle des renseignements biographiques, cette fonctionnalité est capable de recommander les inscriptions de données biométriques qui peuvent être associées aux demandes dans le SMGC. Cette fonctionnalité n’examine pas l’inscription des résultats biométriques, elle ne fait que comparer les données biographiques de base des clients pour attribuer un résultat de niveau de correspondance pour les correspondances parfaites et partielles. Les correspondances parfaites peuvent être associées à un examen minimal, ce qui permet au personnel de se concentrer sur les correspondances non habituelles ou partielles suggérées. L’OSAA ne prend pas de décision à la place d’un employé; il recommande de faire la correspondance entre les inscriptions de données biométriques non associées et les demandes. Les évaluations continuent à être examinées par un agent avant qu’une décision
soit rendue pour la demande.",item6-1,0,,,0,item1-1,,item2-2,,0,2,1,
47,,,item1-1,,,,4,item1-1,,item2-2,,0,,1,
48,,,"item1-1,item3-1",,,,4,item1-1,,item4-4,,0,,1,
53,Immigration services,services d'immigration,item6-1,,"The system will be automating approvals of the sponsorship part of the application for Permanent Residence in the PSR program for certain routine applications.  Refusals will not be automated.  Even for applications where the approval of the sponsorship part of the application is automated by the model, officers continue to make the final decision on each application.","Le système automatisera les approbations de la partie concernant le parrainage pour ce qui est de la résidence permanente dans le cadre du Programme de parrainage privé de réfugiés (PPPR) pour certaines demandes courantes. Les refus ne seront pas automatisés.Même dans les cas où la partie concernant le parrainage est approuvée par le système, les agents continuent de prendre la décision définitive pour chaque demande.",4,item1-1,,item4-4,,4,,1,
54,,,"item4-1,item1-1",,,,4,item1-1,,item1-1,,0,,1,
59,"Employers who use the TFW Program can be randomly selected for an inspection; selected based on tips or allegations of non-compliance; or based on past non-compliance with program requirements. If an employer fails to meet program requirements and/or conditions, consequences can include administrative monetary penalties and a temporary or permanent ban from the Program. The process will select employers who use the TFWP for inspection by Service Canada. The number of selections by region and stream (of the TFWP) will be determined by the TFWP Branch. Cases will be referred to the case management system, where human staff will take full control of managing, distributing, and carrying out cases according to relevant procedures, regulations, and guidance.",,item6-1,0,,,0,item1-1,,item1-1,,0,2,1,
60,"Les employeurs qui utilisent le programme du TET peuvent être choisis au hasard pour une inspection ; sélectionnés sur la base de renseignements ou d’allégations de non-conformité ; ou sur la base d'antécédents de non-conformité aux exigences du programme. Si un employeur ne respecte pas les exigences et/ou les conditions du programme, les conséquences peuvent comprendre des sanctions administratives pécuniaires et une interdiction temporaire ou permanente de participer au programme. Le processus permettra de sélectionner des employeurs qui utilisent le PTET aux fins d’inspection par Service Canada. Le nombre de sélections par région et par volet (du PTET) sera déterminé par la Direction générale du PTET. Les cas seront renvoyés  au système de gestion des cas, où le personnel humain prendra le contrôle total de la gestion, de la distribution et de l’exécution des cas conformément aux procédures, réglementations et directives en vigueur.",,item6-1,0,,,0,item1-1,,item1-1,,0,2,1,
