submission_id,rights_freedoms_score,rights_freedoms_en,rights_freedoms_fr,equality_dignity_score,equality_dignity_en,equality_dignity_fr,health_wellbeing_score,health_wellbeing_en,health_wellbeing_fr,economic_interests_score,economic_interests_en,economic_interests_fr
3,1,The system is expected to have little to no negative impact on the health and well-being of individuals as it will be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que le système ait peu ou pas d’incidence négative sur la santé et le bien-être des personnes, car il sera utilisé pour trier les demandes et automatiser certaines décisions favorables concernant l’admissibilité.",1,The system is expected to have little to no negative impact on the economic interests of individuals as it will be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que le système ait peu ou pas d’incidence négative sur les intérêts économiques des personnes, car il sera utilisé pour trier les demandes et automatiser certaines décisions favorables concernant
l’admissibilité.",1,The system is expected to have little to no negative impact on the environment as it will be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que le système ait peu ou pas d’incidence négative sur
l’environnement, car il sera utilisé pour trier les demandes et automatiser certaines décisions favorables concernant l’admissibilité.",,,
8,1,The tools are expected to have little to no negative impact on the health and well-being of individuals as they will solely be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que les outils aient une incidence faible ou nulle sur la santé et le bien-être des personnes, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions favorables concernant la recevabilité.",1,The tools are expected to have little to no negative impact on the economic interests of individuals as they will solely be used to triage applications and to automate certain positive eligibility determinations. The tools cannot refuse or recommend a refusal.,"On s’attend à ce que les outils aient une incidence faible ou nulle sur les intérêts économiques des personnes, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions favorables concernant la recevabilité. Les outils ne peuvent rejeter des demandes ou en recommander le rejet.",1,The tools are expected to have no negative impact on the environment as they will solely be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que les outils aient une incidence faible ou nulle sur l’environnement, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions favorables concernant la recevabilité.",1,"All of the tools' rules are carefully vetted for potential bias. The tools will also undergo a GBA Plus assessment. Privacy considerations are taken into account from the beginning of the design. The tools only consider information about the client that is relevant and reasonable in the context of the legislative and regulatory requirements of the program. 

The tools are expected to have little to no negative impact as they will solely be used to triage applications and to automate certain positive eligibility determinations.","Toutes les règles des outils sont soigneusement vérifiées pour éviter tout biais éventuel. Les outils feront également l’objet d’une évaluation en vertu de l’ACS Plus. Les considérations relatives à la protection des renseignements personnels sont prises en compte dès le début de la conception. Les outils ne tiennent compte que des renseignements sur le client qui sont pertinents et raisonnables dans le contexte des exigences législatives et réglementaires du programme. 

On s’attend à ce que les outils aient une incidence faible ou nulle, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions favorables concernant la recevabilité."
9,1,The system does not render decisions regarding the recipient’s eligibility. The cases are thoroughly investigated by Integrity Operations agents who determine the recipient’s continued eligibility.,Le système ne rend pas de décisions concernant l’éligibilité du bénéficiaire. Les cas sont minutieusement enquêtés par les agents des Opérations d’Intégrité qui déterminent l’éligibilité continue du bénéficiaire.,1,The system will not render decisions regarding the recipient’s eligibility. The high risk cases that are identified by the system will be thoroughly assessed by Integrity Operations agents who determine the recipient’s continued eligibility.,Le système ne rendra pas de décisions concernant l’éligibilité du bénéficiaire. Les cas à haut risque identifiés par le système seront minutieusement évalués par les agents des Opérations d’Intégrité qui déterminent l’éligibilité continue du bénéficiaire.,1,,Non applicable,1,"Although the system will produce filtered observations that are labelled and summarized by group, the decision to proceed with an inspection and all related decisions are made at the Integrity Operations agents’ discretion. However, if the system were to malfunction, there is a risk it could inadvertently overrepresent at-risk recipients.","Bien que le système produira des observations filtrées qui sont étiquetées et résumées par groupe, la décision de procéder à une inspection et toutes les décisions connexes sont prises à la discrétion des agents des Opérations d’Intégrité. Cependant, si le système devait mal fonctionner, il y a un risque qu’il puisse représenter involontairement de manière excessive les bénéficiaires à risque."
12,1,The system does not make a decision to issue or refuse to issue a travel document and therefore its decisions will have little to no impact on the health and well-being of individuals.,"Le système ne prend pas la décision de délivrer ou de refuser de délivrer un titre de voyage et, par conséquent, ses décisions auront peu ou pas d’incidence sur la santé et le bien être des clients.",1,The system does not make a decision to issue or refuse to issue a travel document and therefore its decisions will have little to no impact on the economic interests of individuals.,"Le système ne prend pas la décision de délivrer ou de refuser de délivrer un titre de voyage et, par conséquent, ses décisions auront peu ou pas d’incidence sur les intérêts économiques des clients.",1,"The system does not make a decision to issue or refuse to issue a travel document, therefore its decisions will not have an impact on environmental sustainability.","Le système ne prend pas la décision de délivrer ou de refuser de délivrer un titre de voyage et, par conséquent, ses décisions auront peu ou pas d’incidence sur la durabilité de l’environnement.",1,"The performance of facial recognition technology can exhibit some degree of  variability based on demographic factors such as gender, age, and skin tone. As a result certain demographics may produce a higher false match rate than others. However this will likely have little to no impact on the equality, dignity, privacy, and autonomy of individuals because false matches are quickly resolved and do not impact service standards. In addition, all decisions to refuse to issue a travel document, withhold service or revoke a travel document are made by a human and never based solely on the result of a facial recognition comparison result.","La performance de la technologie de reconnaissance faciale peut varier dans une certaine mesure en fonction des facteurs démographiques, comme le genre, l’âge et la couleur de la peau. Par conséquent, certains groupes démographiques peuvent avoir un taux de fausses correspondances plus élevé que d’autres. Cela ne devrait toutefois avoir que peu ou pas d’incidence sur l’égalité, la dignité, la vie privée et l’autonomie des personnes, car les fausses correspondances sont rapidement résolues et n’ont pas de répercussions sur les normes de service. Par ailleurs, toutes les décisions de refuser de délivrer un titre de voyage, de refuser de fournir des services ou de révoquer un titre de voyage sont prises par un humain et ne sont jamais fondées uniquement sur le résultat d’une comparaison aux fins de reconnaissance faciale."
21,1,": ITAT is an information source that may be used to identify potential risk and fraud trends in applications. Risk Assessment Units assess the need for a verification activity. If adverse information is discovered, the results of the verification activity may be used by the processing officer in rendering their decision. While an applicant’s health and well-being (e.g. access to medical treatment or attending a family event) may be affected by the decision rendered on their temporary resident application, it is not a direct result of the tool.","L’OATI est une source de données qui peut servir à dégager des demandes les éventuels motifs de risque et de fraude. Les équipes d’évaluation des risques évaluent le besoin de procéder à une activité de vérification. Si des renseignements défavorables sont relevés, l’agent de traitement peut se servir des résultats de l’activité de vérification pour prendre sa décision. Même si la décision rendue à l’issue de la demande de résidence temporaire risque de nuire à la santé et au bien-être du demandeur (p. ex. l’accès à des soins médicaux ou la participation à un événement familial), le fonctionnement de l’outil n’en est pas la cause directe.",1,"ITAT is an information source that may be used to identify potential risk and fraud trends in applications. Risk Assessment Units assess the need for a verification activity. If adverse information is discovered, the results of the verification activity may be used by the processing officer in rendering their decision. While an applicant’s economic interests (e.g., application fee) may be affected by the decision rendered on their temporary resident application, it is not a direct result of the tool.","L’OATI est une source de données qui peut servir à dégager des demandes les éventuels motifs de risque et de fraude. Les équipes d’évaluation des risques évaluent le besoin de procéder à une activité de vérification. Si des renseignements défavorables sont relevés, l’agent de traitement peut se servir des résultats de l’activité de vérification pour prendre sa décision. Même si la décision rendue à l’issue de la demande de résidence temporaire risque de nuire aux intérêts économiques (p. ex. frais de demande), le fonctionnement de l’outil n’en est pas la cause directe.",1,The system is expected to have little to no impact on the environment as it will solely be used as an information source to help identify potential risk and fraud trends in temporary resident applications.,"Le système ne devrait avoir que très peu d’effet sur l’environnement, car il ne servira que de source d’information pour dégager d’éventuels motifs de risque et de fraude des demandes de résidence temporaire.",1,"ITAT does not make or recommend final decisions on applications. Processing officers will continue to follow existing steps and guidelines to ensure procedural fairness is maintained. While many attributes of an application could contribute to a risk pattern, every effort is taken to ensure risk patterns do not create actual or perceived bias as it relates to Charter-protected factors, such as gender, age, race, or religion.","L’OATI ne prend pas de décisions ni ne recommande de décisions définitives concernant les demandes. Les agents de traitement continueront de suivre les étapes et les lignes directrices actuelles pour veiller au maintien de l’équité procédurale. Bien que de nombreux attributs d’une demande puissent contribuer à une tendance de risque, tous les efforts sont déployés pour veiller à ce que les tendances de risque ne créent pas de préjugés réels ou perçus en ce qui a trait à des facteurs protégés par la Charte, comme le sexe, l’âge, la race ou la religion."
22,1,"The age of claims are quite old and the amount involved are not large enough 
to have a significant impact.",Ces demandes sont considérées comme anciennes et les montants impliqués sont considérés comme étant négligeable.,1,"The probability of a change is quite low, around 10%. The model identifies claims with No Change with an accuracy of 90%.
The worst case scenario would be if the claim was entitled to a higher benefit rate and classified as No Change.
In these cases, the estimated losses would be either $300 (median) or $900 (average).","La probabilité qu’une prestation change de taux de paiement est très faible, environ 10%.  Les prestations qui n’ont pas de changement de taux de paiement sont détectées par le modèle avec une précision de 90%. 
Le scénario le moins désiré serait de classer une prestation qui devrait revoir son taux de paiement à la hausse comme n’ayant aucun changement.",1,N.A,N.A,,,
28,1,The proposed pilot project is unrelated to issues to health-related services and social assistance.,Le projet pilote proposé n’a aucun rapport avec les questions relatives aux services de santé et à l’assistance sociale.,1,"The economic interests of individuals are primarily driven by labour market conditions and not by the selection procedures used to identify suitable candidates. Regardless of the selection procedures, the number of job openings remains static. In addition, it is assumed that many candidates are already employed and currently working at other organizations or in different government work roles.","Les intérêts économiques des personnes dépendent principalement des conditions du marché du travail et non des procédures de sélection utilisées en vue de déterminer les candidatures appropriées. Quelles que soient les procédures de sélection, le nombre d’offres d’emploi reste stable. En outre, on suppose que de nombreuses candidatures sont déjà membres du personnel et travaillent actuellement dans d’autres organisations ou dans différents rôles gouvernementaux.",1,Hiring decisions are assumed to have little to no impact on the ongoing sustainability of an environmental ecosystem.,On suppose que les décisions d’embauche ont peu ou pas de répercussions sur la durabilité d’un écosystème environnemental.,1,"The choice to hire or not hire a candidate is expected to have little to no impact on the equality, dignity, privacy, and autonomy of individuals. Furthermore, as part of the selection process candidates have the autonomy to choose to complete, or not to complete, the automated assessment.  Personal identifying information collected using automation will be protected, and used in a way that preserves the dignity of candidates in the hiring process.","Le choix d’embaucher ou de ne pas embaucher une candidature devrait avoir peu ou pas de répercussions sur l’égalité, la dignité, la vie privée et l’autonomie des personnes. De plus, dans le cadre du processus de sélection, les candidatures ont la liberté de choisir de participer ou non au processus d’évaluation automatisée. Les renseignements personnels permettant l’identification des personnes recueillis à l’aide de l’automatisation seront protégés et utilisés de manière à préserver la dignité des candidatures dans le cadre du processus d’embauche."
32,1,"This process will reduce the number of revised claims in the inventory, which will allow officers to focus on Work Items that have an impact to the client and that require attention and specific skills.",,1,"The probability of a change is quite low, around 10%. The model identifies claims with No
Change with an accuracy of 90%.
The worst-case scenario would be if the claim was entitled to a higher benefit rate and 
classified as No Change.
In these cases, the estimated losses would be either $300 (median) or $900 (average).",,1,"This process will reduce the number of revised claims in the inventory, which will allow officers to focus on Work Items that have an impact to the client and that require attention and specific skills.",,1,"The implementation of the ML model aims to reduce the backlog of recalculation work items, thereby easing the workload on officers. By prioritizing cases that have a significant impact on claimants or the EI program, officers can allocate their attention more effectively to critical tasks, resulting in improved service delivery.",
35,1,The system is expected to have little to no negative impact on the health and well-being of individuals as it will solely be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que le système ait peu ou pas d’incidence négative sur la santé et le bien-être des personnes, car il sera uniquement utilisé pour trier les demandes et automatiser certaines décisions favorables concernant l’admissibilité.",1,The system is expected to have little to no negative impact on the economic interests of individuals as it will solely be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que le système ait peu ou pas d’incidence négative sur les intérêts économiques des personnes, car il sera uniquement utilisé pour trier les demandes et automatiser certaines décisions favorables concernant l’admissibilité.",1,The system is expected to have little to no negative impact on the environment as it will solely be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que le système ait peu ou pas d’incidence négative sur l’environnement, car il sera uniquement utilisé pour trier les demandes et automatiser certaines décisions favorables concernant l’admissibilité.",,,
38,1,"The functionalities will not have an impact on the health and well-being of individuals. AAST is used only to aid the processing of immigration applications, and does not make an immigration decision on behalf of an immigration officer.","Les fonctionnalités n’auront pas de répercussions sur la santé et le mieux-être des personnes. L'OSAA est utilisé uniquement pour faciliter le traitement des demandes d'immigration et ne prend pas de décision en matière
d'immigration au nom d'un agent d’immigration.",1,"The modules will not have an impact on the economic interests of individuals. AAST is used only to aid the processing of immigration applications, and does not make an immigration decision on behalf of an immigration officer.","Les modules n’auront pas de répercussions sur les intérêts économiques des personnes. L'OSAA est utilisé uniquement pour faciliter le traitement des demandes d'immigration et ne prend pas de décision en matière
d'immigration au nom d'un agent d’immigration.",1,The modules will not have an impact on the ongoing sustainability of the environmental ecosystem as AAST is used only to aid the processing of immigration applications.,"Les modules n’auront pas de répercussions sur la viabilité de l’écosystème environnemental, car l’OSAA est utilisé uniquement pour aider au traitement des demandes d’immigration.",1,"The functionalities will not have an impact on the equality, dignity, privacy and autonomy of individuals AAST does not make an immigration decision on behalf of an employee, it makes a recommendation on matching assessments to applications, and the assessments continue to be reviewed by an immigration officer prior to a decision being rendered on the application. AAST does not impact the content or results of the assessments themselves. All information is being used for the processing of the immigration application in accordance with the Privacy Act, and safeguards are in place to ensure protection of personal information.","Les fonctionnalités n’auront pas de répercussions sur l’égalité, la dignité et la protection des renseignements personnels des personnes. L’OSAA ne prend pas de décision à la place d’un employé; il fait une recommandation de correspondances d’évaluations liées à des demandes, et les évaluations continuent à être examinées par un agent d’immigration avant qu’une décision soit rendue pour la demande. L’OSAA n'a aucun impact sur le contenu ou les résultats des évaluations elles-mêmes. L’utilisation de tous les renseignements dans le cadre du traitement des demandes d’immigration se fait conformément à la Loi sur la protection des renseignements personnels, et des garanties sont en place pour assurer la protection des renseignements
personnels."
47,3,Mental health benefits impact client wellness by providing early access to coverage for required treatments.,Les avantages pour la santé mentale ont une incidence sur le bien-être des clients en leur fournissant un accès rapide à une couverture pour les traitements requis.,1,Mental health benefits cover costs for professional services related to a client's mental health but provides no additional financial benefit to the client.,"Les avantages pour la santé mentale couvrent les frais des services professionnels liés à la santé mentale du client, mais ne fournissent pas d’avantages financiers supplémentaires au client.",1,This is eligibility for individuals and does not relate to the environment.,Il s’agit de l’admissibilité des personnes et ne concerne pas l’environnement.,,,
48,3,Disability benefits impact overall wellness and possibly financial well-being.,,3,Disability awards will impact financial well-being.,,1,This is eligibility for individuals and does not relate to the environment.,,,,
53,1,"The system is expected to have little to no impact on the health and well-being of individuals as it will only automate certain positive sponsorship determinations , and triage the non-automated sponsorship and refugee  parts of the application for decision by an officer.","On s’attend à ce que le système ait peu ou pas d’incidence négative sur la santé et le bien-être des personnes, car il sera utilisé uniquement dans le but d’automatiser certaines décisions favorables concernant le parrainage et de trier les parties non automatisées de la demande concernant le parrainage et la demande d’asile pour qu’elles soient transmises aux agents à des fins de décision.",1,"The system is expected to have little to no impact on the economic interest of individuals as it will only automate certain positive sponsorship determinations , and triage the non-automated sponsorship and refugee  parts of the application for decision by an officer.","On s’attend à ce que le système ait peu ou pas d’incidence négative sur les intérêts économiques des personnes, car il sera utilisé uniquement dans le but d’automatiser certaines décisions favorables concernant le parrainage et de trier les parties non automatisées de la demande concernant le parrainage et la demande d’asile pour qu’elles soient transmises aux agents à des fins de décision.",1,"The system is expected to have little to no impact on the ongoing sustainability of an environmental ecosystem as it will only automate certain positive sponsorship determinations , and triage the non-automated sponsorship and refugee  parts of the application for decision by an officer.","On s’attend à ce que le système ait peu ou pas d’incidence négative sur la pérennité d’un écosystème, car il sera utilisé uniquement dans le but d’automatiser certaines décisions favorables concernant le parrainage et de trier les parties non automatisées de la demande concernant le parrainage et la demande d’asile pour qu’elles soient transmises aux agents à des fins de décision.",,,
54,1,"The use of ArriveCAN is not anticipated to adversely impact travellers' health or the public health of Canadians. The use of ArriveCAN is intended to bolster the government's capacity to adapt to anticipated increases in the volume of travellers to Canada in a way that safeguards public health. The use of the platform will ensure that operational burdens do not limit the government's ability to scrutinize the vaccination status of all incoming travellers. The automation ensures that checks are performed for every proof of vaccination document, helping minimize potential risks of fraud.",,1,"The use of ArriveCAN is not anticipated to have significant implications for the economic interests of individuals. This is mainly because the platform is not making any administrative or other decisions affecting legal rights, privileges, or interests. The platform's recognition of a traveller's proof of vaccination only assists in the assessment of a traveller's eligibility to enter Canada (given applicable entry requirements at the time of travel). Failure of ArriveCAN to successfully recognize a proof of vaccination would not deprive a traveller from assessment at the border or cause them to incur costs. In this case, a border services officer will manually inspect the proof of vaccination and determine eligibility and post-border requirements accordingly.",,1,"The use of ArriveCAN is not anticipated to have significant environmental implications. As a digital platform, ArriveCAN may help reduce the government's reliance on paper-based processes at the border.",,,,
59,1,"By selecting employers with more potential risk of non-compliance with IRPR, the automation may have a positive impact on the health and safety and security of temporary foreign workers, who work for participating employers. It is hoped that increased focus of inspections on these high-risk employers will lead to greater program compliance.",,1,"The outcome of the system will have no effect on employers using the program. The outcome of the inspection may have a negative financial impact on employers who are misusing the Program, as they may be fined or banned from the program according to the IRPR.",,1,"The automation will not impact the number of inspections initiated by the program, so operational activities such as travel will not be affected.",,1,"All employers may be subject to inspection at any time, and inspections will follow the existing established guidelines and procedures.",
60,1,"En sélectionnant les employeurs présentant un risque plus élevé de non-conformité au RIPR, l’automatisation pourrait avoir un impact positif sur la santé et la sécurité des travailleurs étrangers temporaires qui travaillent pour les employeurs participants. Il est espéré que des inspections portant une attention accrue sur ces employeurs à haut risque mènera à une meilleure conformité au programme.",,1,"Le résultat du système n'aura aucune incidence sur les employeurs qui utilisent le programme. Le résultat de l’inspection peut avoir un impact financier négatif sur les employeurs qui abusent du programme, car ils peuvent être sujet à une amende ou un période d’inadmissibilité au programme conformément au RIPR.",,1,"L’automatisation n’aura aucun impact sur le nombre d’inspections initiées par le programme, donc les activités opérationnelles telles que les déplacements ne seront pas affectées.",,1,"Tous les employeurs peuvent faire l’objet d’une inspection à tout moment, et les inspections suivront les lignes directrices et procédures établies existantes.",
64,1,"Le système devrait avoir peu d’impact négatif, voire aucun, sur la santé et l’autonomie des personnes, puisqu’il servira uniquement à trier les demandes et à regrouper les demandes.",The system is expected to have little to no negative impact on the health and well-being of individuals as it will solely be used to triage and group applications.,1,"Le système devrait avoir peu d’impact négatif, voire aucun, sur les intérêts économiques des personnes puisqu’il servira uniquement à trier et à regrouper les demandes. Le système ne peut ni refuser ni recommander des refus.",The model is expected to have little to no negative impact on the economic interests of individuals as it will solely be used to triage and group applications. The system cannot refuse or recommend a refusal.,1,"Le système ne devrait pas avoir d’impact négatif  sur l’environnement, puisqu’il servira uniquement à trier et à regrouper les demandes.",The system is expected to have no negative impact on the environment as it will solely be used to triage and group applications.,1,"Le système ne devrait pas avoir d’incidence importante sur l’égalité, la dignité, les renseignements personnels et l’autonomie des personnes, puisqu’il servira uniquement à trier les demandes et à faciliter les approbations. 

Pour garantir l’équité et la transparence, les règles du système sont basées uniquement sur des éléments de données ayant un lien clair avec les exigences législatives, réglementaires et contractuelles, et le système ne refuse jamais les demandes, pas plus qu’il ne recommande des refus. Tous les refus continuent d’être effectués par les décideurs, conformément à la pratique actuelle. Toutes les demandes dont la recevabilité ne peut être approuvée automatiquement par le système feront l’objet d’une évaluation complète par les agents, conformément aux pratiques habituelles. Dans le cas des demandes dont l’évaluation positive de la recevabilité est automatisée par le système, ce dernier détermine uniquement que la demande est recevable, avant que la demande soit envoyée à un décideur pour vérifier l’admissibilité et rendre la décision finale.

Des mesures sont également en place pour atténuer le risque potentiel que la fonction de triage puisse influencer la prise de décision des agents. L’analyse avancée (AA) n’a pas été utilisée pour générer les critères du modèle actuel. Les critères sur lesquels repose le modèle sont identiques aux critères actuels et à ceux que les décideurs examinent présentement. Le modèle utilise la technologie pour automatiser quelque chose qui est actuellement fait manuellement. Pour les demandes qui ne font pas l’objet d’une évaluation positive automatisée de la recevabilité, le modèle ne formule aucune recommandation quant à l’approbation ou au refus: chaque demande doit être évaluée individuellement. La conception et le champ d’application du modèle permettent d’atténuer considérablement les préjugés et la discrimination. Par ailleurs, un processus continu d’assurance de la qualité sera mis en œuvre pour vérifier si les agents effectuent les mêmes évaluations positives de recevabilité que le système.

Comme garantie supplémentaire, les règles du système font l’objet d’un processus d’examen approfondi. Avant leur introduction, et à intervalles réguliers par la suite, les règles sont examinées par des agents expérimentés, des experts juridiques, politiques et de la science des données, ainsi que par des cadres supérieurs, afin de s’assurer qu’elles sont logiques, compréhensibles, non discriminatoires et alignées sur les critères de recevabilité établis. Un suivi régulier et des mesures d’assurance de la qualité permettent également de s’assurer que le système fonctionne comme prévu et que tout impact négatif imprévu, tel que les préjugés ou la discrimination, est identifié rapidement et atténué.","The system is expected to have a low impact on the equality, dignity, privacy, and autonomy of individuals, as it will solely be used to sort applications and to facilitate approvals.

To ensure fairness and transparency, the system’s rules are based only on data elements with a clear link to legislative, regulatory and contractual requirements, and the system never refuses applications, nor does it recommend refusals. All refusals continue to be done by decision makers as per the current practice. All applications where eligibility cannot be approved automatically by the system will receive a full assessment by decision makers in accordance with standard practice. For applications where the positive eligibility assessment is automated by the system, the system determines only that an applicant is eligible, before the application is sent to a decision maker to screen for admissibility and render the final decision. 

