submission_id,rights_freedoms_score,rights_freedoms_en,rights_freedoms_fr,equality_dignity_score,equality_dignity_en,equality_dignity_fr,health_wellbeing_score,health_wellbeing_en,health_wellbeing_fr,economic_interests_score,economic_interests_en,economic_interests_fr
Measures are also in place to mitigate against the potential risk that the triage function could influence decision-making. Advanced analytics (AA) was not used to generate the current model criteria. The criteria that inform the model are the same that currently exist and that decision makers would currently examine. The model is using technology to automate something that is currently done manually. For applications that were not triaged for an automated positive eligibility assessment, the model makes no recommendation regarding whether these applications should be approved or refused: each application must be assessed individually. Bias/discrimination are significantly mitigated by the design and scope of the model. Additionally, an ongoing quality assurance process will be implemented to monitor whether officers make the same positive eligibility assessments as the system. 

As a further safeguard, system rules go through an extensive review process. Before they are introduced, and at regular intervals afterward, rules are reviewed by experienced officers, legal, policy, and data science experts, as well as senior executives to ensure they are logical, understandable, non-discriminatory and aligned with established eligibility criteria. Regular monitoring and quality assurance measures also help make sure the system performs as intended and that any unforeseen negative impacts such as bias or discrimination can be identified early and mitigated."
68,1,The system is expected to have little to no impact on the health and well-being of individuals as it will solely be used to automate positive determinations on the application.,"On s'attend à ce que le système ait une incidence faible, voire nulle, sur la santé et le bien-être des personnes puisqu'il ne sera utilisé que pour automatiser les décisions favorables liées aux demandes.",1,The system is expected to have little to no impact on the economic interests of individuals as it will solely be used to automate positive determinations on the application.,"On s'attend à ce que le système ait une incidence faible, voire nulle, sur les intérêts économiques des personnes puisqu'il ne sera utilisé que pour automatiser les décisions favorables liées aux demandes.",1,The introduction of decision automation is not expected to result in a larger carbon footprint than existing manual processes and should have little to no incremental impact on the sustainability of environmental ecosystems.,L'introduction de l'automatisation des décisions ne devrait pas entraîner une empreinte carbone plus signifiante que les processus manuels existants et devrait avoir peu ou pas d'impact supplémentaire sur la durabilité des écosystèmes environnementaux.,,,
75,1,"The premise of the PACT Program (and others like it around the world) is to ensure the continued flow of goods around the globe while adding a layer of security to protect the supply chain from unlawful acts of interference. Using data to perform a risk assessment on a shipment sometimes weeks in advance of loading is widely accepted (see the International Civil Aviation Organization and World Customs Organization's Joint Guiding Principles on Pre-Loading Advanced Cargo Information) to be an efficient and effective means to address potential risk in the least obtrusive means available. In the case of life-saving medical supplies, the supply chain is carefully planned out and follows predictable routes involving known players. Such shipments are also clearly labelled and often have specific handling codes that protect passage from one entity to the next.  This allows for a simplified risk assessment, lessens the chance of shipments being delayed in any way, and in fact facilitates the safe movement of life-saving materials. If life-saving materials were to be prevented from being transported on a specific flight, it would be as a result of a threat item being identified, which if unmitigated, would endanger lives.","Le principe du programme CFAPC (et d’autres programmes similaires dans le monde) est d’assurer la circulation continue des marchandises dans le monde entier tout en ajoutant un niveau de sûreté pour protéger la chaîne d’approvisionnement contre les actes d’ingérence illégaux. L’utilisation de données pour effectuer une évaluation des risques sur un chargement, parfois plusieurs semaines avant le chargement, est largement acceptée (voir les principes directeurs communs de l’Organisation de l’aviation civile internationale et de l’Organisation mondiale des douanes sur l’information préalable sur le fret avant le chargement) comme un moyen efficace et efficient de traiter les risques de la manière la moins gênante possible. Dans le cas des fournitures médicales vitales, la chaîne d’approvisionnement est soigneusement planifiée, suit des itinéraires prévisibles et fait intervenir des acteurs connus. Ces envois sont également clairement étiquetés et disposent souvent de codes de manutention particuliers qui protègent le passage d’une entité à l’autre. Cela permet de simplifier l’évaluation des risques, de réduire les risques de retard des envois et, en fait, de faciliter l’acheminement en toute sécurité de fournitures médicales vitales. Si l’on devait empêcher le transport de fournitures médicales vitales sur un vol donné, ce serait à la suite de la détection d’une menace qui, si elle n’est pas atténuée, mettrait des vies en danger.",1,"A shipper whose shipment is re-screened or prevented from being transported on the flight could incur additional costs. When a shipper opts to ship via air cargo, they agree to terms and conditions that apply to its use, including any applicable fees.","Un expéditeur dont l’envoi est soumis à un nouveau contrôle ou qui n’est pas chargé sur le vol pourrait supporter des frais supplémentaires. Lorsqu’un expéditeur choisit d’expédier des marchandises par fret aérien, il accepte les conditions qui s’appliquent à son utilisation, y compris les frais applicables.",1,"The PACT Program, including its system design and related decision-making processes was assessed in accordance with the Cabinet Directive on the Environmental Assessment of Policy, Plan and Program Proposals. The Strategic Environmental Assessment (SEA) process was followed and a Sustainable Transportation Assessment (STA) was completed by Transport Canada's Environmental Management Branch. The assessment found that the PACT Program is not expected to result in important environmental effects, positive or negative.","Le programme de CFAPC, y compris la conception du système et les processus décisionnels connexes, a été évalué conformément à la Directive du Cabinet sur l’évaluation environnementale des projets de politiques, de plans et de programmes. La procédure d’évaluation environnementale stratégique (EES) a été suivie et une évaluation du transport durable (ETD) a été réalisée par la Direction de la gestion de l’environnement de Transports Canada. L’évaluation a montré que le programme de CFAPC ne devrait pas avoir d’effets environnementaux importants, positifs ou négatifs.",1,"A Privacy Impact Assessment is underway and all safeguards are being put in place to ensure that any personal information that is collected is stored and disposed of in keeping with all applicable laws in Canada. As the personal information of shippers collected by the program is limited to the shipper or consignor’s name, address, and the commodity description, there are few if any anticipated effects on the equality or dignity of individuals. Additionally, the use of advanced analytics as part of the risk assessment will significantly reduce the potential for unintentional bias that could otherwise impact individuals’ dignity and equality rights. Finally, the decision that is automated by the PACT algorithmic system will have little to no impact on individuals’ autonomy because the function of the system is limited to the calculation of the risk of a shipment, and not to its delay or denial of loading. Any decision to prevent a shipment from being transported by air that may follow from that calculation of risk (and that could be construed to limit individuals’ autonomy in opting to use this mode of shipping), remains under the purview of human analysts who will take into consideration a multitude of factors each time a shipment is presented. As the risk factors are fluid (e.g. a trade pattern fluctuates over time), each decision is unique.","Une évaluation des facteurs relatifs à la vie privée (EFVP) est en cours et toutes les garanties sont mises en place pour s’assurer que tous les renseignements recueillis sont stockés et éliminés conformément à toutes les lois applicables au Canada. Étant donné que les renseignements personnels des expéditeurs recueillis par le programme se limitent au nom de l’expéditeur ou du consignateur, à son adresse et à la description du produit, les effets prévus sur l’égalité ou la dignité des personnes sont peu nombreux, voire inexistants. En outre, l’utilisation d’analyses avancées dans le cadre de l’évaluation des risques réduira considérablement le risque de partialité involontaire qui pourrait autrement porter atteinte à la dignité des personnes et à leurs droits à l’égalité. Enfin, la décision automatisée par le système algorithmique du CFAPC aura peu ou pas d’effet sur l’autonomie des personnes, car la fonction du système se limite au calcul de la cote de risque d’un envoi, et non au retard ou au refus de chargement. Toute décision d’empêcher un envoi d’être transporté par avion qui pourrait découler de ce calcul de la cote de risque (et qui pourrait être interprétée comme limitant l’autonomie des personnes dans leur choix d’utiliser ce mode de transport), reste du ressort des analystes humains. Ceux-ci prendront en considération une multitude de facteurs chaque fois qu’un envoi sera présenté. Comme les facteurs de risque fluctuent (par exemple, un modèle de transaction   fluctue dans le temps), chaque décision est unique."
83,1,n/a,s/o,1,n/a,s/o,1,n/a,s/o,,,
86,1,"The system only seeks to validate borrower provided information on a RAP application against an authoritative source (i.e., CRA tax information). 

Given that only borrowers who satisfy the eligibility criteria, as outlined by the CSFAR, should be receiving RAP benefits, the only impact of the system is that it strengthens the integrity of the CSFA Program.",,1,"The system only seeks to validate borrower provided information on a RAP application against an authoritative source (i.e., CRA tax information). 

Given that only borrowers who satisfy the eligibility criteria, as outlined by the CSFAR, should be receiving RAP benefits, the only impact of the system is that it strengthens the integrity of the CSFA Program.",,1,"The system only seeks to validate borrower provided information on a RAP application against an authoritative source (i.e., CRA tax information). The only impact of the system is that it strengthens the integrity of the CSFA Program by ensuring that only borrowers who meet the eligibility criteria described in the CSFAR receive RAP benefits.",,1,"The system only seeks to validate borrower provided information on a RAP application against an authoritative source (i.e., CRA tax information). 

Given that only borrowers who satisfy the eligibility criteria, as outlined by the CSFAR, should be receiving RAP benefits, the only impact of the system is that it strengthens the integrity of the CSFA Program.",
87,1,"Le système ne vise qu'à valider les renseignements fournis par l'emprunteur dans le cadre d’une demande de PAR en les comparant à une source officielle (c.-à-d. les données sur les contribuables de l'ARC).

Étant donné que seuls les emprunteurs qui satisfont aux critères d'admissibilité, tels qu'ils sont énoncés dans le RFAFE, devraient bénéficier du PAR, le seul impact du système est qu'il renforce l'intégrité du PCAFE.",,1,"Le système ne vise qu'à valider les renseignements fournis par l'emprunteur dans le cadre d’une demande de PAR en les comparant à une source officielle (c.-à-d. les données sur les contribuables de l'ARC).

Étant donné que seuls les emprunteurs qui satisfont aux critères d'admissibilité, tels qu'ils sont énoncés dans le RFAFE, devraient bénéficier du PAR, le seul impact du système est qu'il renforce l'intégrité du PCAFE.",,1,Le système ne vise qu'à valider les renseignements fournis par l'emprunteur dans le cadre d’une demande de PAR en les comparant à une source officielle (c.-à-d. les données sur les contribuables de l'ARC). Le seul impact du système est qu'il renforce l'intégrité du PCAFE en veillant à ce que seuls les emprunteurs qui répondent aux critères d'admissibilité décrits dans le RFAFE reçoivent des avantages du PAR.,,1,"Le système ne vise qu'à valider les renseignements fournis par l'emprunteur dans le cadre d’une demande de PAR en les comparant à une source officielle (c.-à-d. les données sur les contribuables de l'ARC).

Étant donné que seuls les emprunteurs qui satisfont aux critères d'admissibilité, tels qu'ils sont énoncés dans le RFAFE, devraient bénéficier du PAR, le seul impact du système est qu'il renforce l'intégrité du PCAFE.",
89,1,The model is expected to have little to no negative impact on the health and well-being of individuals as it will solely be used to triage applications and to automate certain positive eligibility determinations.,,1,The model is expected to have little to no negative impact on the economic interests of individuals as it will solely be used to triage applications and to automate certain positive eligibility determinations.,,1,The model is expected to have little to no negative impact on the environment as it will solely be used to triage applications and to automate certain positive eligibility determinations.,,,,
91,1,"Le modèle devrait avoir peu ou pas d'impact négatif sur la santé et le bien-être des personnes, car il sera uniquement utilisé pour trier les demandes et automatiser certaines déterminations positives d'admissibilité.",,1,"Le modèle devrait avoir peu ou pas d'impact négatif sur les intérêts économiques des personnes, car il sera uniquement utilisé pour trier les demandes et automatiser certaines déterminations positives d'admissibilité.",,1,"Le modèle devrait avoir peu ou pas d'impact négatif sur l'environnement, car il sera uniquement utilisé pour trier les demandes et automatiser certaines déterminations positives d'admissibilité.",,,,
95,1,"The AI decision has no relation, hence no impacts, to the health and well-being of individuals.","La décision de l’IA n’a aucune relation, donc aucune incidence, sur la santé et le bien-être des individus.",1,"As it is completely reversible, the AI decision may only result in minor impacts to the speed at which the claim can be processed, if additional verification is required on a specific decision made. In the vast majority of cases, the processing speed will be unchanged or increased.","Puisqu'elle est totalement réversible, la décision de l’IA peut seulement avoir une incidence mineure sur la rapidité de traitement de la demande si une vérification supplémentaire est requise pour une décision précise. Dans la majorité des cas, la vitesse de traitement restera inchangée ou sera accrue.",1,"The decision will have very little impacts, if any, on the sustainability of an environmental ecosystem.","La décision aura une incidence tres faible, sinon aucune, sur la durabilité d’un écosystème environnemental.",1,"The system is designed to use minimal information in order to respect privacy and reduce the risk of unequal treatment. In addition, a fairness assessment was undertaken to evaluate the model, to ensure that the actions taken by the model are fair and unbiased across a range of sociodemographic groups.","Le système est conçu pour utiliser un minimum d'informations afin de respecter la vie privée et de réduire le risque de traitement inégal. En outre, une évaluation de l'équité a été entreprise pour évaluer le modèle, afin de s'assurer que les mesures prises par le modèle sont justes et impartiales pour une variété de groupes sociodémographiques."
97,1,"The ATD MCO makes the final decision on whether or not the report photo is a ‘match’ or ‘no match’.  If one of the photo views fails the biometric match by the software but the remainder of the photo views pass the biometric match, the ATD MCO reviewing the file has the ability to make the overall decision as a ‘match’ or ‘no match’ decision is based on the ATD MCO’s determination.  Therefore, there is a low impact on the health of the individual.",,1,"If an individual fails the facial photo comparison, their file is assigned to an ATD MCO for review.  Once the ATD MCO of the ATD MC reviews the file, and they suspect the facial comparison is not a match, the file is then reviewed by the ATD MCS. If they are also in agreement, the file is transferred to the Regional Inland Enforcement office for investigation. During the investigation process, the individual will be provided an opportunity to provide information/evidence in person in regards to the investigation. Example: individual had facial surgery, etc. Depending on the conclusion of the investigation, the individual may be transferred to other alternative to detention options.  

To further mitigate the risk of false results, all submissions will have 100% human oversight, and a comparison of the ATD MCO’s results versus software results will be conducted to assess and address potential accuracy, bias and other performance issues associated with the software. Additionally, CBSA Communications has been consulted to develop comprehensive and informative materials that address potential concerns surrounding the use of the technology and other performance issues. This approach ensures that human judgment and discretion are applied to the results, promoting accountability and accuracy in the system's operation.

The individual is unaware of the decision unless or until they are contacted by the Regional Inland Enforcement office during their investigation therefore the likelihood of the individual’s economic interests being at risk is low. The investigation may be dealt with at a lower level by the ATD MCO or ATD MCS or by desk investigation which would have a lower financial impact on the individual. The ATD MCO will try to facilitate any interviews around the individuals schedule and pose minimal financial impact to the individual thus improving supports to individuals with accessibility needs where they do not need to attend a CBSA office by reducing: child care cost, reduced transportation cost and/or travel time etc.    
 
The ATD MCO makes the final decision on whether or not the report photo is a ‘match’ or ‘no match’.  If one of the photo views fails the biometric match by the software but the remainder of the photo views pass the biometric match, the ATD MCO reviewing the file has the ability to make the overall decision as a ‘match’ or ‘no match’ decision is based on the ATD MCO’s determination.",,1,"There will be positive impacts to an environmental ecosystem due to less travel and transportation effects. CBSA currently has approximately 13,000 individuals on in-person reporting, the ability to put the individuals on remote reporting will reduce reporting in person to a CBSA office therefore reducing their carbon footprint.",,1,"Individuals with religious obligations (e.g. veiled) will be accommodated by the solution in that they are able to take their photos in a private location allowing for equality, dignity, privacy and autonomy.

Amazon Rekognition has conducted a third party (Credo AI) review of the face recognition software to validate the performance and extract any inclinations of bias based on a variety of demographic groups, the results of the evaluation were 99.9% facial match rate across 6 different demographic groups. It is also important to note that this software is facial comparison based off of a photo provided by CBSA. All individuals enrolled in ReportIn are voluntarily enrolled and provide consent to the use of their likeness to verify their identity. The voluntary app uses technology akin to the facial unlocking mechanism found in smartphones.
 
To further mitigate the risk of false results, all submissions will have 100% human oversight, and a comparison of the ATD MCO results versus software results will be conducted to assess and address potential accuracy, bias and other performance issues associated with the software. Additionally, CBSA Communications has been consulted to develop comprehensive and informative materials that address potential concerns surrounding the use of the technology and other performance issues. This approach ensures that human judgment and discretion are applied to the results, promoting accountability and accuracy in the system's operation.

There are three levels of review. If an individual fails a facial comparison match, the ATD MCO will contact the individual within a day or two for a follow up investigation. If the ATD MCO still has questions they will refer it to the ATD MCS, if the ATD MCS has additional questions they will refer it to the Regional Inland Enforcement office for investigation by an IEO.

The ATD MCO makes the final decision on whether or not the report photo is a ‘match’ or ‘no match’.  If one of the photo views fails the biometric match by the software, but the remainder of the photo views pass the biometric match, the ATD MCO reviewing the file has the ability to make the overall decision as a ‘match’ or ‘no match’ decision is based on the ATD MCO’s determination.",
99,1,"L’ACCSRD prendra la décision de savoir si la photo de la déclaration est une « correspondance » ou « non-correspondance ». Si l’une des vues de photo ne correspond pas aux données biométriques selon le logiciel, mais que les autres vues de photo correspondent, l’ACCSRD chargé de l’examen du dossier a la possibilité de prendre une décision globale en tant que décision de « correspondance » ou « non-correspondance » en se basant sur la détermination de l’ACCSRD.  Par conséquent, il y a un faible impact sur la santé de l’individu.",,1,"Si une personne échoue à la comparaison de photos faciales, son dossier sera attribué à l’ACCSRD pour examen.  Une fois que l’ACCSRD a examiné le dossier et qu’il soupçonne que la comparaison faciale ne trouve pas de correspondance, le dossier est ensuite examiné par le SCCSRD. S’il est également d’accord, le dossier est transféré au Bureau intérieur d’exécution de la loi régional pour enquête pour enquête. Pendant le processus d’enquête, la personne aura l’occasion de fournir des renseignements et des preuves en personne concernant l’enquête. Exemple : une personne a subi une chirurgie faciale, entre autres. Selon la conclusion de l’enquête, la personne pourrait être transférée vers d’autres solutions de rechange à la détention.  

Pour atténuer davantage le risque de résultats erronés, toutes les présentations seront supervisées à 100 % par des humains, et une comparaison des résultats de l’ACCSRD par rapport aux résultats du logiciel sera effectuée afin d’évaluer et de résoudre les éventuels problèmes de précision, de partialité et autres problèmes de rendement associés au logiciel. De plus, on a consulté l’équipe des communications de l’ASFC pour élaborer des documents exhaustifs et informatifs, qui abordent les préoccupations possibles concernant l’utilisation de la technologie et d’autres problèmes de rendement. Cette approche garantit que le jugement humain et la discrétion sont appliqués aux résultats, favorisant ainsi la responsabilité et la précision dans le fonctionnement du système.

La personne n’est pas au courant de la décision à moins d’être contactée par le Bureau intérieur d’exécution de la loi régional pendant l’enquête; par conséquent, il y a peu de probabilité que les intérêts économiques de la personne soient en danger. L’enquête peut être traitée à un niveau inférieur par l’ACCSRD ou le SCCSRD, ou par une enquête administrative qui aurait une incidence financière moindre sur la personne. L’ACCSRD tentera de faciliter les entrevues en fonction de l’horaire des personnes et de réduire au minimum l’incidence financière pour la personne, améliorant ainsi le soutien aux personnes ayant des besoins en matière d’accessibilité, de sorte qu’elles n’aient pas besoin de se rendre à un bureau de l’ASFC en réduisant : les frais de garde d’enfants, les frais de transport ou le temps de déplacement, entre autres.    
 
L’ACCSRD prendra la décision de savoir si la photo de la déclaration est une « correspondance » ou « non-correspondance ». Si l’une des vues de photo ne correspond pas aux données biométriques selon le logiciel, mais que les autres vues de photo correspondent, l’ACCSRD chargé de l’examen du dossier a la possibilité de prendre une décision globale en tant que décision de « correspondance » ou « non-correspondance » en se basant sur la détermination de l’ACCSRD.",,1,"Il y aura une incidence positive sur un écosystème environnemental en raison de moins de déplacements et d’effets des activités de transport. L’ASFC compte actuellement environ 13 000 personnes qui doivent se présenter en personne; la possibilité de les faire passer à une déclaration à distance permettra de réduire les déclarations en personne à un bureau de l’ASFC, réduisant ainsi leur empreinte carbone.",,1,"Les personnes ayant des obligations religieuses (par exemple, voilées) seront accommodées par la solution en leur permettant de prendre leurs photos dans un endroit privé, favorisant ainsi l’égalité, la dignité, la vie privée et l’autonomie.

Amazon Rekognition a réalisé une évaluation par une tierce partie (Credo AI) du logiciel reconnaissance faciale afin de valider son rendement et d’extraire tous penchants pour les préjugés fondés sur divers groupes démographiques. Les résultats de l’évaluation ont montré un taux de correspondance faciale de 99,9 % pour 6 groupes démographiques différents. Il est également important de noter que ce logiciel est basé sur la comparaison faciale à partir d’une photo fournie par l’ASFC. Toutes les personnes inscrites à JeMePrésente sont inscrites volontairement et donnent leur consentement à l’utilisation de leur image pour vérifier leur identité. L’application, utilisée sur une base volontaire, utilise une technologie similaire au mécanisme de déverrouillage facial que l’on retrouve sur les téléphones intelligents.
 
Pour atténuer davantage le risque de résultats erronés, toutes les présentations seront supervisées à 100 % par des humains, et une comparaison des résultats de l’ACCSRD par rapport aux résultats du logiciel sera effectuée afin d’évaluer et de résoudre les éventuels problèmes de précision, de partialité et autres problèmes de rendement associés au logiciel. De plus, on a consulté l’équipe des communications de l’ASFC pour élaborer des documents exhaustifs et informatifs, qui abordent les préoccupations possibles concernant l’utilisation de la technologie et d’autres problèmes de rendement. Cette approche garantit que le jugement humain et la discrétion sont appliqués aux résultats, favorisant ainsi la responsabilité et la précision dans le fonctionnement du système.

Il y a trois niveaux d’examen. Si une personne échoue à une correspondance faciale, l’ACCSRD communiquera avec la personne dans un délai d’un ou deux jours pour une enquête de suivi. Si l’ACCSRD a encore des questions, il les transmettra au SCCSRD. Si ce dernier a des questions supplémentaires, il les transmettra au Bureau intérieur d’exécution de la loi régional pour enquête par un AELBI.

L’ACCSRD prendra la décision de savoir si la photo de la déclaration est une « correspondance » ou « non-correspondance ». Si l’une des vues de photo ne correspond pas aux données biométriques selon le logiciel, mais que les autres vues de photo correspondent, l’ACCSRD chargé de l’examen du dossier a la possibilité de prendre une décision globale en tant que décision de « correspondance » ou « non-correspondance » en se basant sur la détermination de l’ACCSRD.",
106,1,"Puisque le processus d’automatisation n’inclut pas le refus de délivrer un passeport, les incidences de l’automatisation ont peu ou pas d’effets négatifs sur la santé et le bien-être des personnes. Avec l’automatisation, les décisions positives sur les demandes de renouvellement à faible risque et peu complexes seront probablement prises plus rapidement qu’à l’heure actuelle. Ainsi, l’automatisation aura probablement une incidence nette positive sur la santé et le bien-être des personnes.",,1,"Puisque le processus d’automatisation n’inclut pas le refus de délivrer un passeport, les incidences de l’automatisation ont peu ou pas d’effets négatifs sur les intérêts économiques des personnes. Avec l’automatisation, les décisions positives sur les demandes de renouvellement à faible risque et peu complexes seront probablement prises plus rapidement qu’à l’heure actuelle. Ainsi, l’automatisation aura probablement une incidence nette positive sur les intérêts économiques des personnes, particulièrement celles qui voyagent souvent par affaires.",,1,"Les décisions relatives au passeport, qu’elles soient positives ou négatives, ont peu de chance d’avoir un effet sur la viabilité environnementale.",,,,
109,1,"The automation does not include refusals to issue a passport therefore the impacts of automation have ""little to no negative impact"" on heath and well-being. Given automated positive decisions of low risk, low complexity renewal applications are likely to be made more quickly than the current process, automation is likely to result in a net positive impact on individuals' health and well being.",,1,"The automation does not include refusals to issue a passport therefore the impacts of automation have ""little to no negative impact"" on the economic interests of individuals. Given automated positive decisions of low risk, low complexity renewal applications are likely to be made more quickly than the current process, automation is likely to result in a net positive impact on individuals' economic interests, especially those who rely on frequent business travel.",,1,"Passport decisions, either positive or negative, are unlikely to have impacts on environmental sustainability.",,,,
112,1,"On s’attend à ce que les outils n’aient à peu près pas d’incidence négative sur la santé et le bien-être des personnes, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions favorables concernant la recevabilité.","On s’attend à ce que les outils n’aient à peu près pas d’incidence négative sur la santé et le bien-être des personnes, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions favorables concernant la recevabilité.",1,"On s’attend à ce que les outils n’aient à peu près pas d’incidence négative sur les intérêts économiques des personnes, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions favorables concernant la recevabilité.","On s’attend à ce que les outils n’aient à peu près pas d’incidence négative sur les intérêts économiques des personnes, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions favorables concernant la recevabilité.",1,"On s’attend à ce que les outils n’aient à peu près pas d’incidence négative sur la durabilité continue d’un écosystème environnemental, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions concernant l’approbation de la recevabilité.","On s’attend à ce que les outils n’aient à peu près pas d’incidence négative sur la durabilité continue d’un écosystème environnemental, car ils seront uniquement utilisés pour trier les demandes et automatiser certaines décisions concernant l’approbation de la recevabilité.",1,"On s’attend à ce que le système n’ait à peu près pas d’incidence sur l’égalité, la dignité, la protection de la vie privée et l’autonomie des personnes, car il sera utilisé uniquement pour trier les demandes et automatiser certaines approbations favorables concernant le répondant ainsi que certaines décisions favorables concernant la recevabilité des demandeurs principaux. Les périodes de conservation des données, les procédures de traitement des données et la capacité des clients à mettre à jour ou à modifier leur demande durant le traitement demeureront inchangées, peu importe l’emplacement du tri de la demande ou si la demande fait l’objet d’une décision automatisée concernant le répondant ou la recevabilité du demandeur principal.","On s’attend à ce que le système n’ait à peu près pas d’incidence sur l’égalité, la dignité, la protection de la vie privée et l’autonomie des personnes, car il sera utilisé uniquement pour trier les demandes et automatiser certaines approbations favorables concernant le répondant ainsi que certaines décisions favorables concernant la recevabilité des demandeurs principaux. Les périodes de conservation des données, les procédures de traitement des données et la capacité des clients à mettre à jour ou à modifier leur demande durant le traitement demeureront inchangées, peu importe l’emplacement du tri de la demande ou si la demande fait l’objet d’une décision automatisée concernant le répondant ou la recevabilité du demandeur principal."
